Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,SpO2,BPM,PiezoVal,AnimalTemp,EnvTemp,EnvHumid,Behavior_Label
-0.52,4.12,0.98,-2.83,1.49,0.32,98,0,0,35.88,30.80,77.10,ANOMALY
-3.01,-3.38,-6.35,-0.80,1.33,0.77,98,0,0,35.88,30.80,77.10,ANOMALY
-6.39,-2.68,-2.96,1.49,1.06,0.83,98,0,0,35.88,30.80,77.10,ANOMALY
1.77,2.40,-0.67,2.72,2.41,0.69,98,0,0,35.88,30.80,77.10,ANOMALY
-0.91,5.24,6.51,1.10,2.97,0.50,98,0,0,35.88,30.80,77.10,ANOMALY
-10.91,-3.96,16.62,-2.05,3.59,0.12,98,0,0,35.88,30.80,77.10,ANOMALY
-5.50,-12.36,24.67,-4.34,2.15,-1.71,98,0,0,35.88,30.80,77.10,ANOMALY
-11.97,-29.63,5.35,-2.56,1.27,-2.62,98,0,0,35.88,30.80,77.10,ANOMALY
-4.46,-25.19,5.78,-0.04,-0.94,-2.22,98,0,0,35.88,30.80,77.10,ANOMALY
1.29,-5.74,3.53,0.17,0.96,-1.18,98,0,0,35.88,30.80,77.10,ANOMALY
-2.26,-6.42,6.22,-0.02,1.27,-1.30,98,0,0,35.88,30.80,77.10,ANOMALY
1.30,-6.20,5.75,0.56,1.10,-1.69,98,0,0,35.88,30.80,77.10,ANOMALY
-0.91,-4.49,7.59,0.44,1.61,-0.92,98,0,0,35.88,30.80,77.10,ANOMALY
-0.12,-6.46,4.53,-0.39,1.38,-1.60,98,0,0,35.88,30.80,77.10,ANOMALY
-0.25,-10.91,7.13,-0.81,1.29,-1.80,98,0,0,35.88,30.80,77.10,ANOMALY
1.08,-10.07,3.92,-0.18,0.97,-1.73,98,0,0,35.88,30.80,77.10,ANOMALY
1.54,-10.40,6.14,0.46,1.54,-0.73,98,0,0,35.81,30.80,77.10,ANOMALY
-0.73,-9.30,7.69,0.52,1.85,-0.44,98,0,0,35.81,30.80,77.10,ANOMALY
-0.27,-8.11,6.39,-0.18,1.12,-0.73,98,0,0,35.81,30.80,77.10,ANOMALY
-0.30,-8.88,4.81,0.05,1.48,-0.63,98,0,0,35.81,30.80,77.10,ANOMALY
0.43,-6.38,4.57,0.25,1.38,-0.79,98,0,0,35.81,30.80,77.10,ANOMALY
-1.53,-5.88,5.12,-0.41,0.87,-0.73,98,0,0,35.81,30.80,77.10,ANOMALY
