Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,SpO2,BPM,PiezoVal,AnimalTemp,EnvTemp,EnvHumid,Behavior_Label
1.04,0.40,10.00,-0.07,-0.02,-0.02,98,0,992,29.06,29.30,79.00,RESTING
1.03,0.40,9.99,-0.07,-0.02,-0.02,98,0,1104,29.06,29.30,79.00,RESTING
1.01,0.40,10.00,-0.07,-0.02,-0.02,98,0,1021,29.06,29.30,79.00,RESTING
1.05,0.40,10.01,-0.07,-0.01,-0.02,98,0,1112,29.06,29.30,79.00,RESTING
1.02,0.42,9.97,-0.07,-0.02,-0.02,98,0,1050,29.06,29.30,79.00,RESTING
1.03,0.41,9.99,-0.07,-0.02,-0.02,98,0,1121,29.06,29.30,79.00,RESTING
1.01,0.40,9.97,-0.07,-0.01,-0.02,98,0,1074,29.06,29.30,79.00,RESTING
1.03,0.40,10.01,-0.07,-0.01,-0.03,98,0,1117,29.06,29.30,79.00,RESTING
1.04,0.41,10.03,-0.07,-0.02,-0.02,98,0,1057,29.06,29.30,79.00,RESTING
1.05,0.40,9.99,-0.07,-0.02,-0.02,98,0,1175,29.06,29.30,79.00,RESTING
1.02,0.39,9.99,-0.07,-0.02,-0.02,98,0,1074,29.06,29.30,79.00,RESTING
1.03,0.39,10.00,-0.07,-0.02,-0.02,98,0,1198,29.06,29.30,79.10,RESTING
1.03,0.38,9.99,-0.07,-0.02,-0.02,98,0,1214,29.06,29.30,79.10,RESTING
1.04,0.40,9.97,-0.07,-0.02,-0.02,98,0,1138,29.06,29.30,79.10,RESTING
1.03,0.40,10.00,-0.07,-0.02,-0.02,98,0,1205,29.06,29.30,79.10,RESTING
1.02,0.38,10.00,-0.07,-0.02,-0.02,98,0,1094,29.06,29.30,79.10,RESTING
1.03,0.41,9.99,-0.07,-0.02,-0.02,98,0,1179,29.06,29.30,79.10,RESTING
1.02,0.41,10.00,-0.07,-0.02,-0.02,98,0,1105,29.06,29.30,79.10,RESTING
1.03,0.39,9.99,-0.07,-0.02,-0.02,98,0,1151,29.06,29.30,79.10,RESTING
1.02,0.40,10.00,-0.07,-0.02,-0.02,98,0,1122,29.06,29.30,79.10,RESTING
1.02,0.40,9.99,-0.07,-0.02,-0.02,98,0,1190,29.06,29.30,79.10,RESTING
1.04,0.37,10.01,-0.07,-0.01,-0.02,98,0,1105,29.06,29.30,79.10,RESTING
1.03,0.39,9.99,-0.07,-0.01,-0.02,98,0,1146,29.06,29.30,79.10,RESTING
1.02,0.40,10.02,-0.07,-0.01,-0.02,98,0,1109,29.06,29.30,79.10,RESTING
1.01,0.39,10.02,-0.07,-0.02,-0.02,98,0,1136,29.06,29.30,79.10,RESTING
1.03,0.39,9.99,-0.07,-0.02,-0.02,98,0,1115,29.06,29.30,79.10,RESTING
1.02,0.40,10.01,-0.07,-0.02,-0.02,98,0,1107,29.06,29.30,79.10,RESTING
1.03,0.40,10.00,-0.07,-0.01,-0.02,98,0,1164,29.06,29.30,79.10,RESTING
1.04,0.39,10.01,-0.07,-0.02,-0.02,98,0,1085,29.06,29.30,79.10,RESTING
1.03,0.39,9.99,-0.07,-0.02,-0.02,98,0,1170,29.06,29.30,79.10,RESTING
1.02,0.41,10.02,-0.07,-0.02,-0.02,98,0,1065,29.06,29.30,79.10,RESTING
1.02,0.39,9.99,-0.07,-0.02,-0.02,98,0,1195,29.06,29.30,79.10,RESTING
1.04,0.41,10.01,-0.07,-0.02,-0.02,98,0,1046,29.06,29.30,79.10,RESTING
1.02,0.39,10.01,-0.07,-0.02,-0.02,98,0,1178,29.06,29.30,79.10,RESTING
1.02,0.40,9.98,-0.07,-0.02,-0.02,98,0,1040,29.06,29.30,79.10,RESTING
1.04,0.40,9.98,-0.07,-0.02,-0.02,98,0,1161,29.06,29.30,79.10,RESTING
1.03,0.39,10.05,-0.07,-0.02,-0.02,98,0,1040,29.06,29.30,79.10,RESTING
1.02,0.40,9.98,-0.07,-0.02,-0.02,98,0,1136,29.06,29.30,79.10,RESTING
1.04,0.40,9.98,-0.07,-0.02,-0.02,98,0,1040,29.06,29.30,79.10,RESTING
1.03,0.41,9.98,-0.07,-0.02,-0.02,98,0,1090,29.06,29.30,79.10,RESTING
1.02,0.40,9.97,-0.07,-0.02,-0.02,98,0,1036,29.06,29.30,79.10,RESTING
1.03,0.40,10.02,-0.07,-0.01,-0.02,98,0,1112,29.06,29.30,79.10,RESTING
1.05,0.40,9.99,-0.07,-0.01,-0.02,98,0,1040,29.06,29.30,79.10,RESTING
1.01,0.40,10.01,-0.07,-0.02,-0.02,98,0,1121,29.06,29.30,79.10,RESTING
1.02,0.39,10.01,-0.07,-0.02,-0.02,98,0,1034,29.06,29.30,79.10,RESTING
